0 1 22 -> 2 fr=5 (0.1000), cf=1.000, gamma=8.333, delta=0.088, M=-1.277e+01
6 14 19 20 -> 2 fr=5 (0.1000), cf=1.000, gamma=8.333, delta=0.088, M=-1.277e+01
6 14 19 22 -> 2 fr=5 (0.1000), cf=1.000, gamma=8.333, delta=0.088, M=-1.277e+01
19 22 -> 21 fr=6 (0.1200), cf=0.857, gamma=6.122, delta=0.100, M=-1.271e+01
9 19 20 -> 21 fr=6 (0.1200), cf=0.857, gamma=6.122, delta=0.100, M=-1.271e+01
6 19 20 -> 21 fr=6 (0.1200), cf=0.857, gamma=6.122, delta=0.100, M=-1.271e+01
1 46 -> 76 fr=11 (0.2200), cf=0.647, gamma=2.696, delta=0.138, M=-1.259e+01
13 -> 22 fr=28 (0.5600), cf=0.933, gamma=1.373, delta=0.152, M=-1.256e+01
3 59 -> 74 fr=9 (0.1800), cf=0.750, gamma=3.409, delta=0.127, M=-1.238e+01
6 -> 0 fr=32 (0.6400), cf=1.000, gamma=1.250, delta=0.128, M=-1.237e+01
9 22 -> 2 fr=6 (0.1200), cf=0.667, gamma=5.556, delta=0.098, M=-1.215e+01
1 9 50 -> 79 fr=6 (0.1200), cf=1.000, gamma=5.556, delta=0.098, M=-1.215e+01
1 6 50 -> 79 fr=6 (0.1200), cf=1.000, gamma=5.556, delta=0.098, M=-1.215e+01
1 4 7 46 -> 79 fr=6 (0.1200), cf=1.000, gamma=5.556, delta=0.098, M=-1.215e+01
0 1 7 46 -> 79 fr=6 (0.1200), cf=1.000, gamma=5.556, delta=0.098, M=-1.215e+01
22 46 -> 11 fr=14 (0.2800), cf=0.778, gamma=2.160, delta=0.150, M=-1.197e+01
5 13 46 -> 11 fr=14 (0.2800), cf=0.778, gamma=2.160, delta=0.150, M=-1.197e+01
7 -> 1 fr=15 (0.3000), cf=0.882, gamma=2.005, delta=0.150, M=-1.190e+01
1 6 -> 9 fr=11 (0.2200), cf=0.846, gamma=2.644, delta=0.137, M=-1.186e+01
1 14 -> 23 fr=7 (0.1400), cf=0.875, gamma=4.375, delta=0.108, M=-1.162e+01
1 46 -> 79 fr=9 (0.1800), cf=0.529, gamma=2.941, delta=0.119, M=-1.154e+01
2 17 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
2 23 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
2 19 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
1 2 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
2 20 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
51 74 -> 75 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
17 23 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
17 19 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
9 17 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
22 23 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
1 17 20 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
1 14 17 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
1 6 17 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
1 17 22 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
1 4 17 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
0 1 17 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
14 19 23 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
9 14 19 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
1 14 19 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
1 20 22 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
1 14 22 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
1 6 22 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
1 4 22 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
0 1 22 -> 21 fr=5 (0.1000), cf=1.000, gamma=7.143, delta=0.086, M=-1.152e+01
0 13 22 38 -> 40 fr=14 (0.2800), cf=0.875, gamma=2.083, delta=0.146, M=-1.152e+01
5 45 46 -> 11 fr=15 (0.3000), cf=0.714, gamma=1.984, delta=0.149, M=-1.138e+01
9 19 -> 21 fr=6 (0.1200), cf=0.750, gamma=5.357, delta=0.098, M=-1.134e+01
19 20 -> 21 fr=6 (0.1200), cf=0.750, gamma=5.357, delta=0.098, M=-1.134e+01
22 91 -> 105 fr=7 (0.1400), cf=0.778, gamma=4.321, delta=0.108, M=-1.134e+01
4 91 -> 105 fr=7 (0.1400), cf=0.778, gamma=4.321, delta=0.108, M=-1.134e+01
1 6 9 -> 23 fr=8 (0.1600), cf=0.727, gamma=3.636, delta=0.116, M=-1.132e+01
1 4 9 -> 23 fr=8 (0.1600), cf=0.727, gamma=3.636, delta=0.116, M=-1.132e+01
0 1 9 -> 23 fr=8 (0.1600), cf=0.727, gamma=3.636, delta=0.116, M=-1.132e+01
74 -> 59 fr=9 (0.1800), cf=0.818, gamma=3.147, delta=0.123, M=-1.125e+01
9 14 -> 2 fr=6 (0.1200), cf=0.600, gamma=5.000, delta=0.096, M=-1.123e+01
20 21 -> 19 fr=6 (0.1200), cf=1.000, gamma=5.000, delta=0.096, M=-1.123e+01
6 21 -> 19 fr=6 (0.1200), cf=1.000, gamma=5.000, delta=0.096, M=-1.123e+01
4 21 -> 19 fr=6 (0.1200), cf=1.000, gamma=5.000, delta=0.096, M=-1.123e+01
13 105 -> 91 fr=6 (0.1200), cf=1.000, gamma=5.000, delta=0.096, M=-1.123e+01
3 13 61 -> 91 fr=6 (0.1200), cf=1.000, gamma=5.000, delta=0.096, M=-1.123e+01
9 20 22 -> 19 fr=6 (0.1200), cf=1.000, gamma=5.000, delta=0.096, M=-1.123e+01
0 16 -> 4 fr=35 (0.7000), cf=0.921, gamma=1.212, delta=0.122, M=-1.106e+01
19 21 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
20 21 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
6 21 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
4 21 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
1 17 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
19 23 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
1 19 20 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
14 19 20 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
6 14 19 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
14 19 22 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
6 19 22 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
6 7 22 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
4 7 22 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
0 7 22 -> 2 fr=5 (0.1000), cf=0.833, gamma=6.944, delta=0.086, M=-1.100e+01
1 4 -> 23 fr=9 (0.1800), cf=0.600, gamma=3.000, delta=0.120, M=-1.096e+01
0 1 -> 23 fr=9 (0.1800), cf=0.600, gamma=3.000, delta=0.120, M=-1.096e+01
13 46 -> 11 fr=14 (0.2800), cf=0.737, gamma=2.047, delta=0.143, M=-1.076e+01
6 23 -> 9 fr=8 (0.1600), cf=1.000, gamma=3.125, delta=0.109, M=-1.064e+01
1 14 -> 9 fr=8 (0.1600), cf=1.000, gamma=3.125, delta=0.109, M=-1.064e+01
6 20 -> 14 fr=18 (0.3600), cf=0.900, gamma=1.667, delta=0.144, M=-1.055e+01
0 20 22 -> 14 fr=18 (0.3600), cf=0.900, gamma=1.667, delta=0.144, M=-1.055e+01
2 21 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
2 23 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
2 19 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
1 2 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
2 20 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
21 23 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
1 21 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
14 21 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
22 23 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
14 19 23 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
9 14 19 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
1 14 19 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
1 19 22 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
1 9 22 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
1 20 22 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
1 14 22 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
1 6 22 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
1 4 22 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
0 1 22 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
6 14 19 20 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
6 14 19 22 -> 17 fr=5 (0.1000), cf=1.000, gamma=6.250, delta=0.084, M=-1.054e+01
