species;group;length;wspan;weight;AR;wload;back;belly;ftype;sim;billcol;legcol;arrives;leaves;eggs;incub;ccare;biotope;diet;diver;long-billed;webbed-feet;long-legs;wading-bird;plunge-dives
nokikana;rallidae;36-38;70-80;600-900;5.71;1.16;greyish black;greyish black;C;Yes;white;greenish;March-April;August-October;4-12;both;both;nutrient-rich-lakes,sea-bays,reedbeds;insects;No;No;Yes;No;Yes;No
luhtahuitti;rallidae;19-23;37-42;55-145;5.44;0.38;dappled brown;dappled brown;C;Yes;yellow;greenish;May;August-September;8-12;both;both;meadows,reedbeds,nutrient-rich-lakes;invertebrates,algae,seeds;No;No;No;No;Yes;No
merimetso;phalacrocoracidae;90-100;121-149;2300-3500;6.54;1.02;black;black;C;Yes;grey;black;April-May;August-October;3-4;both;both;islets;fish,shellfish;Yes;Yes;Yes;No;No;No
silkkiuikku;podicipedidae;50-55;59-73;800-1200;7.87;1.34;blackish grey;white;C;Yes;reddish;yellowish-grey;May;August-October;3-6;both;both;lakes,sea-bays;fish;Yes;Yes;Yes;No;No;No
härkälintu;podicipedidae;40-50;77-85;700-900;6.48;1.81;blackish grey;reddish brown;C;Yes;dark;black;April-May;August-November;3-6;both;both;lakes;fish,shellfish,clams;Yes;Yes;Yes;No;No;No
mustakurkku-uikku;podicipedidae;31-38;46-55;400-720;7.6;1.56;black;reddish brown;C;Yes;black;greenish-black;April-May;July-August;4-6;both;both;lakes,ponds;insects,shellfish;Yes;No;Yes;No;No;No
pikku-uikku;podicipedidae;23-29;40-45;150-200;6.37;0.92;black;beige;C;Yes;black;greenish;April;October;4-6;both;both;lakes,ponds;fish,insects,shellfish,clams;Yes;No;Yes;No;No;No
kaakkuri;gaviidae;53-69;91-110;1300-2000;9.26;1.64;greyish brown;white;C;Yes;black;black;April-May;September-November;2;both;both;ponds,lakes;fish;Yes;No;Yes;No;No;No
kuikka;gaviidae;58-73;100-122;2000-3000;8.94;2.34;black-white;white;C;Yes;black;black;April-May;August-October;2;both;both;lakes,sea-bays;fish;Yes;No;Yes;No;No;No
kaulushaikara;ardeidae;70-80;100-130;800-1900;5.58;0.6;dappled brown;dappled brown;B;Yes;greenish-yellow;greenish-yellow;April-May;August-October;5-7;F;F;reedbeds,nutrient-rich-lakes,sea-bays;fish,frogs,chicks,small-rodents;No;Yes;No;No;Yes;No
harmaahaikara;ardeidae;90-100;155-175;930-1150;5.88;0.4;light grey;greyish white;B;Yes;yellow;brown;March-May;August-November;4-6;both;both;nutrient-rich-lakes,sea-bays,islets;fish,frogs,snakes,small-rodents,chicks;No;Yes;No;Yes;Yes;No
kattohaikara;ardeidae;100-115;180-215;2500-4000;6.41;0.86;black-white;white;A;Yes;red;red;April-May;August-September;3-5;both;both;meadows,pastures,wetlands;frogs,worms,small-rodents,insects,snakes;No;Yes;No;Yes;Yes;No
kanahaukka;accipitridae;49-64;93-127;750-1700;5.38;0.66;grey;black-white;A;Yes;black;yellow;March-April;September-November;2-5;F;both;forests;birds,small-rodents,hares,squirrels;No;No;No;No;No;No
varpushaukka;accipitridae;29-41;58-80;130-345;5.35;0.24;greyish brown;black-white;A;Yes;bluish-grey;greenish-yellow;March-May;August;3-7;F;both;forests;birds,small-rodents;No;No;No;No;No;No
hiirihaukka;accipitridae;46-58;110-132;550-1000;5.58;0.4;dark brown;brown-white;A;Yes;yellow-black;yellow;March-April;August-October;2-3;both;both;forest-edges;rodents,chicks,frogs,snakes;No;No;No;No;No;No
mehiläishaukka;accipitridae;52-59;110-132;510-1160;5.48;0.38;greyish brown;brown-white;A;Yes;black;yellow;May;August;1-2;both;both;forests, forest-edges;insects,eggs,chicks,frogs,small-rodents;No;No;No;No;No;No
ruskosuohaukka;accipitridae;43-55;115-140;480-750;6.37;0.34;dark brown;brown;A;No;black;yellow;April;August-September;4-5;F;both;reedbeds;small-rodents,chicks,frogs,insects;No;No;No;No;No;No
sinisuohaukka;accipitridae;42-55;97-118;285-630;5.81;0.21;brown;brown-white;A;No;yellow-black;yellow;April;August-October;4-6;F;both;marshland,wetlands,shores;small-rodents,birds,frogs,insects;No;No;No;No;No;No
haarahaukka;accipitridae;48-58;130-155;560-940;7.14;0.33;dark brown;dark brown;A;Yes;black;reddish-yellow;April-May;August-October;2-3;both;both;shores,meadows,forest-edges;fish,frogs,small-rodents,lizards,carrion;No;No;No;No;No;No
merikotka;accipitridae;78-100;190-240;4000-7000;5.18;0.68;brown;brown;A;Yes;yellow;yellow;March-April;October-November;1-3;both;both;sea-coast,lakes;birds,fish,carrion;No;No;No;No;No;Yes
